# ============================================================================
# FFO REPERTOIRE - Professional C4-based Opening Book (Full)
# ============================================================================
# File: 00_opening_ffo.txt
# Source: Fédération Française d'Othello – Répertoire d'ouvertures
#         https://www.ffothello.org/strategie/repertoire-douvertures/
#         Thanks to the volunteer editors and historians of FFO.
#
# Content: Full conversion from the FFO French repertoire (C4-based families and sub-variations)
# Format: NAME | MOVES | ADVANTAGE
#
# Legend (advantage after the listed sequence):
#   b   = Black slightly better (Noir)
#   b+  = Black better
#   b++ = Black clearly better
#   w   = White slightly better (Blanc)
#   w+  = White better
#   w++ = White clearly better
#   =   = Roughly equal / not specified
#
# Conventions:
# - Names standardized in English when widely used (Heath, Tanida, Diagonal, Ishii, Rose, Brightwell, etc.).
# - When no widely used English name exists, the FFO French label is retained, minimally anglicized.
# - MOVES are in short format without spaces; Black moves in UPPERCASE, White in lowercase.
# - This file preserves the repertoire structure and order as in the French source when possible.
# ============================================================================

Diagonal Opening | C4c3D3c5 | =
X | C4c3D3c5B2 | =
Country | C4c3D3c5B3 | =
Country Attached | C4c3D3c5B3e3 | =
Country Cannibal | C4c3D3c5B3e3B5c2 | =
Country Transverse | C4c3D3c5B3e3D6 | =
Country Shibata | C4c3D3c5B3e3D6c6B5b4C7 | =
Country Ralle | C4c3D3c5B3e3D6c6B5b4E6d7F4 | =
Country Kitajima | C4c3D3c5B3e3D6e6B4 | =
Country Tanigushi | C4c3D3c5B3e3D6e6B5c6B6 | =
Country Detached | C4c3D3c5B3f3 | =
Country Sled | C4c3D3c5B3f3B4 | =
Country Nordic | C4c3D3c5B3f3F4 | =
Country Right | C4c3D3c5B3f4 | =
Country 9-on-the-edge | C4c3D3c5B3f4B5b4A5 | =
Country Nail | C4c3D3c5B3f4B5b4A5a6C6a4 | =
Country Milanese | C4c3D3c5B3f4B5b4A5a6C6b6D6 | =
Country ??? | C4c3D3c5B3f4B5b4A5a6C6b6A4a3D6 | =
Country ??? | C4c3D3c5B3f4B5b4A5a3C6 | =
Country Danish | C4c3D3c5B3f4B5b4A5a3D6 | =
Country Berner | C4c3D3c5B3f4B5b4D6 | =
Country Checkerboard | C4c3D3c5B3f4B5b4C6d6F5 | =
Country Classic Ou 11 Edge | C4c3D3c5B3f4B5b4C6d6A4 | =
Heath | C4c3D3c5B4 | =
Heath D'évitement | C4c3D3c5B4b3 | =
Heath D'évitement Malgache | C4c3D3c5B4b3B5d2C6 | =
Heath Chimney | C4c3D3c5B4e3 | =
Heath Chimney Right | C4c3D3c5B4e3C2b5C6a4 | =
Heath Chimney Diagonal | C4c3D3c5B4e3D2b5C6a4 | =
Heath Chimney Diagonal Concrete | C4c3D3c5B4e3D2b5C6a4A3a2 | =
Heath Chimney Diagonal Central | C4c3D3c5B4e3D2b5C6a4D6 | =
Heath Chimney, Var.. Russe | C4c3D3c5B4e3D2b3F4f5 | =
Heath Drumel | C4c3D3c5B4d2E2e3 | =
Heath Comp’oth Ou Cambridge Ou Bat | C4c3D3c5B4d2D6 | =
Heath Comp’oth Groupée | C4c3D3c5B4d2D6e3 | =
